nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto,jornada,isapre,contrato
"Sra. Sancho Urías Sosa",28870474,0,sra.5340@viajes.ceele,DvP9VXICjtH,Sra.sosa,"+56 2 0181 1659",Diurno,Colmena,"Part time"
"Gerardo Salas Villaseñor",29177751,1,gerardo2336@viajes.ceele,p1uI63iF,gesavi,"+56 2 9177 4922",Diurno,"Más vida","Full time"
"Anita Campos Holguín",18208303,8,anita9356@viajes.ceele,oYCZV3Z8dLl84,ancaho,"+56 2 3405 3885",Nocturno,Consalud,"Part time"
"Cristobal Briseño Benavídez",7638017,1,cristobal3126@viajes.ceele,4Td7nixf7,crbrbe,+56-9-6226-5790,Diurno,Colmena,"Part time"
"Adela Paz Llamas",20456268,7,adela2214@viajes.ceele,i1xGx8ZYG79A,adela1839,"+56 9 9644 1961",Nocturno,Fonasa,"Part time"
"Claudia Palomino Acevedo",23739103,9,claudia5131@viajes.ceele,aJuIGOl6,clpaac,"+56 9 6633 7108",Nocturno,Fonasa,"Part time"
"Hugo Escamilla Roldán",20330535,4,hugo336@viajes.ceele,QVvhrJLz0,hugo8139,"+56 2 9123 1638",Diurno,Fonasa,"Part time"
"Sr. David Trujillo Saavedra",24032752,0,srdatrsa@viajes.ceele,bVFpcnf007d2,Sr.saavedra,"+56 9 3276 9515",Diurno,Colmena,"Part time"
"Claudia Amaya Sanches",24139438,7,clamsa@viajes.ceele,df5Xqe232r,clamsa,"+56 9 6782 6329",Nocturno,Consalud,"Part time"
"Sta. Nicolás Navarrete Terán",11633908,0,Sta.terOen@viajes.cl,RaaNu7mxS,Sta.terán,"+56 2 1622 1077",Nocturno,Banmédica,"Full time"
"Eva Vázquez Girón",19169091,5,evvOegi@viajes.ceele,47NRcNL5lahu,evvági,"+56 9 1210 1574",Diurno,Consalud,"Part time"
"Lilia Narváez Matías",24182915,4,linama@viajes.ceele,SCTwSQXx6cQ,linama,"+56 2 9066 5631",Nocturno,Colmena,"Full time"
"Fernando Quintana Munguía",4275235,5,FernandomunguOAa@viajes.ceele,W15lAz8YT1ie4,fequmu,"+56 2 7819 1746",Nocturno,"Más vida","Full time"
"Sta. Marco Antonio Chavarría Bermúdez",9880731,4,sta.6655@viajes.ceele,ob7DpPFAJ,sta.7724,"+56 2 5930 2595",Diurno,Colmena,"Full time"
"Berta Anaya Bustamante",17831514,5,Bertabustamante@viajes.ceele,aXPmJR3Zl,beanbu,"+56 9 8783 2778",Diurno,Consalud,"Part time"
"Lucas Quiroz Benítez",5613254,6,LucasbenOAtez@viajes.ceele,X5LXThnlME7KrDRE,lucas9352,"+56 2 7564 2478",Diurno,Colmena,"Full time"
"Vicente Villegas Quiñónez",25433367,0,vicente6381@viajes.ceele,G6hwL5nPl,viviqu,+56-9-2420-7521,Nocturno,Consalud,"Part time"
"Enrique Adorno Coronado",11217677,2,enrique5385@viajes.ceele,j2WdwueHIf,Enriquecoronado,"+56 2 9358 5883",Diurno,Colmena,"Part time"
"Mayte Duarte Cardona",29345350,0,maduca@viajes.ceele,GvuQVZ4hm9d3xV,maduca,+56-2-5172-1954,Diurno,Banmédica,"Full time"
"Sra. Catalina Collazo Olvera",23079039,6,srcacool@viajes.ceele,2XKlyuBudgZMw,srcacool,"+56 2 1081 9144",Nocturno,Banmédica,"Part time"
x,7640891,2,andrea2946@viajes.ceele,O2HKhc33,andrea5613,+56-2-2382-3042,x,Banmédica,"Part time"
"Andrea Muñiz Botello",3860705,7,Andreabotello@viajes.ceele,mYueDO9nSDT9,andrea5098,"+56 2 5097 6074",Nocturno,Fonasa,"Full time"
"Pilar Garrido Pizarro",7894458,7,pilar5483@viajes.ceele,s6v7dQ9Vc,pigapi,"+56 2 3713 1602",Diurno,"Más vida","Full time"
"Sofia Saldaña Lovato",19807448,9,sofia9256@viajes.ceele,thoDzSYM7,sosalo,+56-9-2641-4850,Diurno,"Más vida","Part time"
"Carlota Tirado Rosario",18453742,7,Carlotarosario@viajes.ceele,LxJpTGKl1V4ar,carlota9504,"+56 2 6911 9405",Nocturno,Fonasa,"Part time"
"Ana Sierra Almonte",29913551,9,ansial@viajes.ceele,8SHkPo5l,Anaalmonte,"+56 2 6031 2354",Nocturno,Colmena,"Full time"
"Sta. Marco Antonio Abrego Lira",29972413,1,Sta.lira@viajes.cl,PmkH0nYCROk,Sta.lira,"+56 2 7934 9106",Diurno,Colmena,"Full time"
"Rebeca Santana Carreón",24170462,9,rebeca3851@viajes.ceele,PC6wxrIuAIp6MY8,x,"+56 9 5092 9074",Diurno,x,"Full time"
"Horacio Canales Lovato",26634450,3,horacio9994@viajes.ceele,DDCM7R873x,Horaciolovato,"+56 9 0027 8170",Diurno,"Más vida","Full time"
"Mario Bustamante Escobedo",17017236,1,Marioescobedo@viajes.ceele,msG3hK09ePX,mario8217,"+56 2 3687 2351",Nocturno,Colmena,"Part time"
"Martín Rodríguez Alva",23246554,9,MartOAnalva@viajes.ceele,P72qKib0njUPa,martín6406,"+56 2 3423 5629",Nocturno,"Más vida","Full time"
"Sra. Santiago Godoy Nájera",21207033,5,Sra.nOejera@viajes.ceele,O26ODvHdC4xdxjv,Sra.nájera,"+56 2 0840 4529",Diurno,Colmena,"Part time"
"Bernardo Hinojosa Sotelo",21197316,1,bernardo1252@viajes.ceele,BG6v02lq,bernardo363,"+56 9 9940 4688",Diurno,"Más vida","Part time"
"Benjamín Holguín Figueroa",25975747,9,BenjamOAnfigueroa@viajes.ceele,RjN2EkNz,benjamín2651,"+56 2 4298 0110",Diurno,Colmena,"Part time"
"Caridad Cardona Figueroa",22228813,4,caridad4308@viajes.ceele,rI5v8uZt,caridad9491,+56-2-8996-4545,Nocturno,Colmena,"Part time"
"Dorotea Uribe Granado",19430620,2,Doroteagranado@viajes.ceele,C4oV7E2FNjsZa,dorotea6064,"+56 2 0795 9307",Diurno,"Más vida","Full time"
"Rosario Saucedo Carranza",13912425,1,rosario4305@viajes.ceele,ipkHXkD5o4,rosario3348,"+56 9 4149 1226",Nocturno,Consalud,"Part time"
"Cristian Hernandes Gutiérrez",25856841,9,crhegu@viajes.ceele,AEvy7P7Q3TvsHdF,Cristiangutiérrez,"+56 2 2717 9381",Diurno,"Más vida","Full time"
"Sta. Maricarmen Cruz Vélez",20494174,2,Sta.vOolez@viajes.ceele,dKmBRCM7aqfdH9J,sta.4005,"+56 9 7476 3580",Nocturno,"Más vida","Full time"
"Samuel Barrientos Nájera",14682792,6,sabanOe@viajes.ceele,MvxdV2XQmC6,sabaná,+56-2-8943-6937,Diurno,Fonasa,"Full time"
"Barbara Montoya Solano",24679871,0,Barbarasolano@viajes.ceele,QllJWJ0wLuT0Rc0e,bamoso,"+56 9 2603 7891",Diurno,"Más vida","Full time"
"Ana Pantoja Gallardo",26589824,6,ana7543@viajes.ceele,iIg6Y0bA4qlB,ana615,"+56 9 8932 4092",Nocturno,Fonasa,"Full time"
"Arturo Montez Macías",13541157,4,armoma@viajes.ceele,IdjUypmv6t4Bip12,armoma,"+56 9 6115 0867",Nocturno,Banmédica,"Full time"
"Daniel Salazar Santillán",16180314,6,DanielsantillOen@viajes.cl,CR99y79mm,dasasa,"+56 9 5463 1383",Diurno,Colmena,"Full time"
"Guadalupe Crespo Alemán",2296183,7,gucral@viajes.ceele,rLGPrXamSS8hu7Tg,guadalupe7966,"+56 2 6732 8379",Nocturno,Banmédica,"Part time"
"Ana María Longoria Godoy",13873605,9,anmalogo@viajes.ceele,PxEM8sVQ,ana8335,"+56 2 2734 8450",Diurno,Banmédica,"Part time"
"Sta. Carlota Ornelas Ramírez",2008826,5,Sta.ramOArez@viajes.ceele,x3ad3u9bhbOC,x,"+56 9 2957 3440",x,"Más vida","Part time"
"Luis Miguel Tejada Águilar",22059634,6,lumiteOeg@viajes.ceele,y5m7uZIOvBJ4lHD,lumiteág,"+56 9 2958 2786",Diurno,Consalud,"Part time"
"Miguel Guajardo Vázquez",26250429,8,MiguelvOezquez@viajes.ceele,aL5LFWAo7sm,Miguelvázquez,+56-9-3880-5224,Nocturno,"Más vida","Part time"
"Miguel Cantú Peralta",18350227,1,Miguelperalta@viajes.ceele,rf589lAQV9xWJDmp,micape,"+56 9 7377 5424",Diurno,Consalud,"Full time"
"Virginia Olivares Serrano",7014327,5,violse@viajes.ceele,ey1RgVfd4NQY,virginia3146,"+56 2 9072 9071",Nocturno,Banmédica,"Full time"
"Catalina Delgado Gaona",3353539,2,cadega@viajes.ceele,uTBBB8Dcork1iv,cadega,"+56 2 3814 1860",Nocturno,"Más vida","Full time"
"Alfonso Abreu Jaimes",20694683,0,alfonso6673@viajes.ceele,joy4f1UxI5wcaLL,alfonso8400,"+56 9 2214 5952",Diurno,"Más vida","Part time"
"Pedro Meraz Delrío",21993471,8,pedro2808@viajes.ceele,w8XDfaoYW7B45S5N,Pedrodelrío,"+56 9 9320 8703",Nocturno,Consalud,"Full time"
"Mateo Adorno Pulido",16526052,0,Mateopulido@viajes.ceele,Zs9Gm85igxxv,mateo3972,"+56 2 0221 0531",Diurno,"Más vida","Part time"
"Beatriz Montoya Leiva",24626044,3,bemole@viajes.ceele,nEGXZrZ2yI2CnAq,bemole,"+56 2 1921 0612",Diurno,"Más vida","Full time"
"Jorge Alcaraz Gallardo",7698614,2,jorge9242@viajes.cl,T9uLtMGe04,Jorgegallardo,"+56 9 7903 9366",Nocturno,Banmédica,"Part time"
"Sta. Ana Luisa Gonzales Velázquez",28754120,1,sta.6904@viajes.ceele,caUlPR1EM9B,Sta.velázquez,"+56 2 8636 6111",Diurno,"Más vida","Full time"
"Raquel Duran Domínguez",10863605,0,RaqueldomOAnguez@viajes.ceele,E2gXr5LR33kTQU,Raqueldomínguez,"+56 9 4842 0486",Diurno,Colmena,"Full time"
"Cristian León Villegas",17669119,0,Cristianvillegas@viajes.ceele,61hs6Ah0ZkvP6,crlevi,+56-9-1885-3221,Diurno,"Más vida","Full time"
"Arturo Prado Tórrez",16861111,0,arturo6379@viajes.ceele,G5i2MPhyf,Arturotórrez,"+56 2 4382 8892",Diurno,"Más vida","Part time"
"Irene Anguiano Meza",13682846,0,iranme@viajes.ceele,TMFjO9KrWu,Irenemeza,"+56 9 4539 2112",Nocturno,Fonasa,"Part time"
"Benjamín Zapata Matos",12689542,9,BenjamOAnmatos@viajes.ceele,8FgbLVHM,bezama,"+56 9 4315 7020",Diurno,"Más vida","Full time"
"Gabriela Sauceda Venegas",29409488,1,gasave@viajes.cl,ggERnBOw3,gabriela2499,"+56 2 3482 1620",Nocturno,Fonasa,"Part time"
"Sta. Rosalia Posada Negrete",23197236,6,Sta.negrete@viajes.ceele,vxhDFXuPWz5fPI,sta.6961,+56-2-6322-7479,Diurno,Fonasa,"Full time"
"Beatriz Velásquez Collazo",20236420,9,Beatrizcollazo@viajes.ceele,kwMFcL4ZNow8hZd,beveco,+56-9-5182-9894,Nocturno,Consalud,"Part time"
"Sra. Natalia Carrera Carvajal",4935377,4,Sra.carvajal@viajes.ceele,7B31ez1qVe14tfi,srnacaca,"+56 9 7129 8981",Diurno,Colmena,"Full time"
"Luis Quesada Figueroa",21597388,3,luis965@viajes.ceele,NZFL4uaUz9hxo2,luqufi,+56-9-6026-1148,Nocturno,Consalud,"Full time"
"Mario Ruiz Chacón",19003953,6,maruch@viajes.ceele,orhbxJuWL5n,Mariochacón,"+56 2 1437 3473",Nocturno,Fonasa,"Full time"
"Alberto Sosa Sanabria",7408494,0,alberto8047@viajes.ceele,nhiBmyG0BDd7Vzm,alsosa,"+56 2 2011 3017",Nocturno,"Más vida","Part time"
"Anita Armas Sauceda",23132359,7,anita1298@viajes.ceele,1tE5eYeL,anita237,"+56 2 6410 9159",Nocturno,Fonasa,"Part time"
"Gustavo Benavides Ulibarri",16289292,4,Gustavoulibarri@viajes.ceele,LsIFDHHt1O3Q8Hpe,Gustavoulibarri,+56-9-0059-6890,Diurno,Banmédica,"Part time"
"Arturo Cisneros Roldán",1725723,4,arciro@viajes.ceele,f6fRGUqRYpG,arturo4558,"+56 9 2493 2123",Nocturno,Consalud,"Part time"
"Samuel Curiel Rivas",8079407,0,sacuri@viajes.ceele,Qxqs21mnK4cBe,sacuri,"+56 9 1960 4708",Nocturno,Colmena,"Part time"
"Adela Macías Tafoya",17560923,7,admata@viajes.ceele,uCq2yT8koMWYjb,Adelatafoya,"+56 2 5773 1776",Nocturno,Colmena,"Full time"
"Sr. Micaela Matos Valentín",3727187,0,srmimava@viajes.ceele,aXOTvv6AXxDG0,sr.2155,"+56 2 1075 2946",Diurno,Colmena,"Full time"
"Lola Corrales Bravo",18794412,0,locobr@viajes.ceele,9AjqPlQW,Lolabravo,+56-9-8240-4241,Nocturno,Colmena,"Part time"
"Leonor Vargas Concepción",28376349,8,LeonorconcepciOIn@viajes.ceele,muaJ1uOqa2Ui9,levaco,"+56 9 9601 2645",Diurno,Consalud,"Part time"
"Joaquín Romero Pineda",20494883,6,joropi@viajes.ceele,9pNae0HeZc,joropi,"+56 2 2918 0044",Diurno,Colmena,"Full time"
"Leticia Zambrano Rosario",23608361,6,Leticiarosario@viajes.ceele,vVY2QMhhXTaxL,Leticiarosario,+56-9-5301-0898,Diurno,"Más vida","Full time"
"Agustín Urrutia Núñez",23575846,6,agustOAn4940@viajes.ceele,Aht5EugMqqvJ9M,agustín709,"+56 9 4102 8183",Diurno,Fonasa,"Full time"
"Guillermo Arce Vigil",18522775,8,guarvi@viajes.ceele,6YOBF7LlPYV,guarvi,"+56 2 2014 1341",Diurno,Banmédica,"Full time"
"Sra. Susana Balderas Rentería",12299017,6,srsubare@viajes.cl,qS8edPubLil,srsubare,"+56 2 8218 6542",Diurno,Fonasa,"Full time"
"Concepción Vanegas Altamirano",11313071,7,concepciOIn9687@viajes.ceele,VolJzTz3tdY6YqvX,covaal,"+56 2 8838 6168",Nocturno,Colmena,"Part time"
"Ernesto Águilar Cotto",4455565,4,erOegco@viajes.ceele,InlvVTl0l,ernesto4646,"+56 2 5848 3618",Diurno,Banmédica,"Full time"
"Jorge Gálvez Perales",24633700,4,jogOepe@viajes.ceele,ubyLM0jb50u,jorge505,"+56 2 9328 4426",Nocturno,"Más vida","Full time"
"Felipe Vergara Preciado",12469311,0,fevepr@viajes.ceele,0NIvnWC4vO,felipe8345,"+56 2 8590 4934",Diurno,Colmena,"Part time"
"Samuel Rocha Iglesias",13647008,6,Samueliglesias@viajes.ceele,HjGvmMqA5PPCr,saroig,+56-9-6430-9476,Nocturno,Consalud,"Part time"
"Salvador Fierro Hernandes",12530841,4,Salvadorhernandes@viajes.ceele,n6SAJlraogcH4C2U,safihe,"+56 9 4950 5566",Nocturno,Fonasa,"Full time"
"Sta. Hugo Santillán Munguía",3409474,8,sta.8136@viajes.ceele,mwSX6KxZE8HaHU2,Sta.munguía,"+56 9 1015 5953",Nocturno,Colmena,"Part time"
"Agustín Arias Hernández",26310896,5,agarhe@viajes.ceele,6wOEC8c4b,agarhe,+56-9-0580-7740,Diurno,Banmédica,"Full time"
"Sta. Adela Casillas Arteaga",23267777,5,sta.9452@viajes.ceele,T4IxQCitwm7,sta.5522,"+56 9 7036 5557",Nocturno,Colmena,"Full time"
"Hernán Godoy Cruz",12551595,9,hegocr@viajes.ceele,AHy3WLD4vTbMX1s,hernán5107,"+56 2 7953 3235",Nocturno,Consalud,"Full time"
"Mayte Vallejo Anaya",20741706,8,Mayteanaya@viajes.ceele,M4Eh71wF4U10,mayte2965,"+56 2 2833 9990",Diurno,Colmena,"Part time"
"Sta. Teresa Castillo Casillas",1047327,6,sta.6913@viajes.ceele,RcN7cRRtaM8Lqq6,Sta.casillas,"+56 9 9401 7191",Diurno,Banmédica,"Full time"
"Pablo Arevalo Rojo",19942874,8,pablo4834@viajes.ceele,d9dQ1n962kJY8J,paarro,"+56 9 3139 6529",Diurno,"Más vida","Full time"
"Jorge Luis Corrales Alaniz",15694726,1,jolucoal@viajes.ceele,fz6FZ1QOf4,jolucoal,+56-2-2248-5753,Nocturno,Banmédica,"Full time"
"Sta. Hugo Vázquez Valverde",2532957,0,sthuvOeva@viajes.ceele,1xxOsLsekx6xz6zs,sthuváva,"+56 2 9861 9577",Nocturno,"Más vida","Part time"
"Lola Acosta Villarreal",7194059,4,Lolavillarreal@viajes.ceele,ejaVnL9aV,loacvi,+56-9-7313-4583,Nocturno,Banmédica,"Part time"
"Caridad Gálvez Fajardo",26876895,5,Caridadfajardo@viajes.ceele,oSwBj33c,caridad4423,"+56 2 4388 0886",Diurno,Consalud,"Full time"
"Benito Gracia Alcántar",20194915,7,begral@viajes.ceele,8BK1M200JUw,benito9318,+56-9-6204-8218,Nocturno,"Más vida","Part time"
"Luis Gamboa Madrigal",28752648,2,lugama@viajes.ceele,nw6BejxIXW,Luismadrigal,+56-9-2345-3771,Nocturno,Banmédica,"Part time"
"Guadalupe Cintrón Miramontes",15512007,0,Guadalupemiramontes@viajes.ceele,PXZI4Eor8q78T6m7,Guadalupemiramontes,"+56 9 8302 6872",Diurno,Consalud,"Part time"
"Daniel Vaca Muñiz",25411749,8,davamu@viajes.ceele,ZplxRQ2LLuGVIl0,daniel3494,"+56 2 6250 4984",Diurno,Fonasa,"Part time"
"Gabriela Sevilla Merino",17642403,6,gabriela5493@viajes.cl,BiFjZMkvy0d,gabriela2527,"+56 2 2562 2279",Nocturno,"Más vida","Full time"
"Marta Urías Cruz",16928843,7,marta9699@viajes.ceele,vAUiEvlWt0v,marta572,"+56 9 4814 2071",Diurno,Consalud,"Part time"
"Sra. Roberto Romo Córdova",5805884,0,sra.6692@viajes.ceele,QNV44Sf22zPrMz8,Sra.córdova,"+56 2 5205 3433",Diurno,Fonasa,"Part time"
"Mónica Pabón Ledesma",3185466,0,MOInicaledesma@viajes.ceele,PDa1mG7z4O27zk,mópale,"+56 9 4730 7081",Diurno,Fonasa,"Full time"
"Guillermo Cintrón Valadez",18228218,9,Guillermovaladez@viajes.ceele,w10Yfb0kBMQB2,Guillermovaladez,+56-9-2920-6861,Nocturno,Fonasa,"Part time"
"María Cristina Espinoza Ávila",11416402,0,MarOAaOevila@viajes.ceele,UataAKUI0Q,Maríaávila,"+56 2 9020 8143",Diurno,Fonasa,"Full time"
"Elsa Ávalos Romo",11571713,8,elsa8301@viajes.ceele,nI6udnlVV1,elsa5261,"+56 2 8239 7129",Diurno,Colmena,"Full time"
"Sta. Rodrigo Grijalva Moreno",23921713,3,Sta.moreno@viajes.ceele,ZNyaQ1pSWmV,sta.5429,+56-2-1628-4121,Nocturno,Colmena,"Full time"
x,4180446,7,pablo5674@viajes.ceele,pPFhajV4zrXF1T,Pablogastélum,"+56 2 3648 7565",Nocturno,x,"Full time"
"Sta. Guadalupe Arellano Quesada",27178140,7,Sta.quesada@viajes.ceele,1ZUeBR5vc2Sn0Dzt,sta.1206,"+56 9 2639 2127",Diurno,Fonasa,"Part time"
"Antonia Segovia Tello",26947696,6,ansete@viajes.ceele,ImCiHm4j8W0acOd,ansete,"+56 9 8931 2319",Nocturno,Banmédica,"Full time"
"Andrés Tapia Zamora",4426839,6,AndrOoszamora@viajes.ceele,LItY6lsGO4,antaza,"+56 9 7035 2867",Diurno,Consalud,"Full time"
"Timoteo Estrada Guzmán",26048165,7,TimoteoguzmOen@viajes.ceele,iNpPd1kvwmEQ,tiesgu,"+56 2 2070 5138",Nocturno,Banmédica,"Full time"
"Leonor Santacruz Farías",15535635,9,leonor2699@viajes.ceele,E7a4v5hbFp1Z,leonor1926,"+56 2 6738 7017",Diurno,Fonasa,"Part time"
"Gilberto Marrero Rincón",9340949,3,GilbertorincOIn@viajes.ceele,V6waqBOOvGQdUMck,gimari,"+56 9 5221 0777",Nocturno,Colmena,"Part time"
"Clara Quintero Medina",25595648,5,clqume@viajes.ceele,smEHALJe2P9Zht,clara1193,"+56 9 5783 5054",Diurno,Consalud,"Part time"
"José Luis Tello Casárez",27258523,7,josOo3471@viajes.ceele,6BuAEHWBFgEDmPBQ,joluteca,+56-9-9150-4097,Nocturno,"Más vida","Full time"
"Andrés Domínquez Zaragoza",8540280,3,AndrOoszaragoza@viajes.ceele,zNLU23ElWf,Andrészaragoza,"+56 9 0043 5813",Diurno,Fonasa,"Part time"
"Eloisa Patiño Hinojosa",28602501,3,elpahi@viajes.ceele,6UfOGhH9PdohKR5V,eloisa3165,+56-2-2497-7276,Diurno,Consalud,"Full time"
"Martín Manzanares Malave",6020764,0,mamama@viajes.ceele,o0anHB1F,mamama,"+56 2 3201 0434",Diurno,"Más vida","Full time"
"Rebeca Olmos Arriaga",3301990,4,rebeca1767@viajes.ceele,ukfJX74JS,rebeca5625,"+56 2 0357 7145",Nocturno,"Más vida","Full time"
"Sr. Carlota Sepúlveda Rivera",18752915,8,Sr.rivera@viajes.ceele,wq4hjt6WyHkv6vk,Sr.rivera,"+56 9 5667 1139",Diurno,Fonasa,"Full time"
"Nicolás Véliz Ozuna",7290218,1,nicolOes4043@viajes.ceele,jWsn6EhTnir2,Nicolásozuna,+56-9-9277-0716,Nocturno,Colmena,"Full time"
"Soledad Nazario Sandoval",15527151,5,sonasa@viajes.ceele,mwYa2oBciZ,soledad830,+56-9-0739-7776,Diurno,Consalud,"Part time"
"Cecilia Gallegos Jáquez",12278365,0,CeciliajOequez@viajes.ceele,PAPiIAt0SK195ak,cecilia9779,"+56 2 3909 9842",Diurno,Fonasa,"Full time"
"Mercedes Berríos Chacón",15629002,5,mebech@viajes.ceele,x,mercedes1386,+56-9-5567-3649,Nocturno,"Más vida","Part time"
"Sr. Antonio Covarrubias Moya",17745576,8,srancomo@viajes.ceele,56cBge0X,Sr.moya,"+56 2 0515 6231",Diurno,"Más vida","Part time"
"Diana Padrón Rosario",26208213,0,diana7983@viajes.ceele,SoJ8dZKd3vCOKK7q,Dianarosario,"+56 2 1766 3007",Diurno,"Más vida","Part time"
"Sra. Ester Marrero Orta",21370966,6,Sra.orta@viajes.ceele,QqPvJ5uEhC,sra.8985,"+56 9 8883 4942",Diurno,Banmédica,"Full time"
"María Teresa Gurule Sedillo",10796104,6,marOAa9841@viajes.ceele,7s6bZd9AMz3RW,Maríasedillo,+56-2-5760-1966,Diurno,Consalud,"Part time"
"Benjamín Portillo Girón",23379627,1,benjamOAn622@viajes.ceele,mjoVvfCLo6emz6,Benjamíngirón,"+56 9 6071 5615",Diurno,"Más vida","Full time"
"Sancho Flórez Téllez",25144062,0,SanchotOollez@viajes.ceele,uqxbb8l3Wv4bB,Sanchotéllez,"+56 2 2418 5979",Nocturno,Fonasa,"Part time"
"Fernando Aguilera Ortiz",19129076,3,feagor@viajes.ceele,lukfqn5V,feagor,+56-2-1071-6260,Nocturno,Colmena,"Full time"
"Sofia Ríos Vélez",25907101,1,sofia3359@viajes.ceele,G2t0A9etCB428,Sofiavélez,"+56 2 9654 8059",Diurno,"Más vida","Full time"
"Sr. Timoteo Segura Caldera",3726127,0,sr.6363@viajes.ceele,WP3POoLaGrmc,sr.5666,+56-2-5885-6801,Diurno,"Más vida","Part time"
"Irene Lira Niño",10401084,9,irlini@viajes.ceele,Cc0Ps5UDQp,Ireneniño,"+56 9 1525 3940",Diurno,Banmédica,"Part time"
"Natalia Brito Arias",13657663,1,Nataliaarias@viajes.ceele,P68UFKLVh4Iy,Nataliaarias,"+56 2 6363 0804",Nocturno,Colmena,"Full time"
"Sr. Clara Laboy Solís",12259887,0,sr.917@viajes.ceele,lGB3zZfXzb4XM,Sr.solís,"+56 9 5450 5412",Nocturno,"Más vida","Full time"
"Vicente Trejo Tello",22667160,9,Vicentetello@viajes.ceele,m9PZIol3eqq0,vicente2967,+56-2-9050-1830,Diurno,"Más vida","Part time"
"Luz Alvarez Carbajal",20771710,0,luz1591@viajes.ceele,yXJs8EIwFpIR18,lualca,"+56 9 9632 2521",Nocturno,Consalud,"Part time"
"Ariadna Orellana García",12291958,7,AriadnagarcOAa@viajes.ceele,b70IAn23R1db4M,arorga,"+56 2 4010 0588",Diurno,Fonasa,"Part time"
"Esteban Segura Salazar",10677348,3,Estebansalazar@viajes.ceele,wE6DFz9qrMCRnVZ,Estebansalazar,"+56 9 6711 0601",Nocturno,Consalud,"Part time"
"Sra. Gabriela Bravo Montero",28581651,3,Sra.montero@viajes.ceele,mfU27T3eOU,Sra.montero,+56-9-8296-3635,Diurno,Fonasa,"Part time"
"Marilu Juárez Reynoso",7098028,2,marilu2586@viajes.ceele,g20gnVwtgxFp,majure,"+56 2 6137 3414",Nocturno,Colmena,"Full time"
"Beatriz Perales Amador",16962260,4,beatriz9644@viajes.ceele,dSmMWkA6QHxJJY,beatriz4324,+56-2-2932-0230,Diurno,Consalud,"Part time"
"Sta. Pedro Arreola Roque",9363800,0,sta.6091@viajes.ceele,ee2vSYK1,sta.556,"+56 9 7060 1245",Nocturno,Fonasa,"Part time"
"Bernardo Carrillo Bustamante",26373573,0,bernardo9103@viajes.ceele,9DmiUWaWewlyBtUH,bernardo8707,"+56 2 0263 8770",Nocturno,Banmédica,"Part time"
"Cecilia Ferrer Pedraza",13067740,1,cecilia2735@viajes.ceele,3VPv7WIav,Ceciliapedraza,+56-2-1373-8749,Diurno,Colmena,"Full time"
"Sra. Joaquín Campos Alonso",8082015,1,Sra.alonso@viajes.ceele,d5NePvi4Hn,srjocaal,"+56 2 1667 7438",Nocturno,Banmédica,"Part time"
"Norma Cardenas Linares",15265414,6,nocali@viajes.ceele,WI2pMwSKzGnQ,nocali,"+56 2 0798 5295",Diurno,"Más vida","Part time"
"Manuela Nieves Gurule",6630382,9,manigu@viajes.ceele,LVHhqSLw26rJDA,manuela9482,"+56 9 6279 8585",Nocturno,Colmena,"Full time"
"Sta. Gabriel Gamboa Salas",25011431,1,stgagasa@viajes.ceele,SM4Mc82ZnC9,Sta.salas,+56-9-0396-5017,Nocturno,Consalud,"Part time"
"David Rosas Delao",11001967,0,david2165@viajes.ceele,pQC8jODc3WlG,david4902,+56-9-3170-7242,Nocturno,Colmena,"Full time"
"Sr. Alfonso Montes Rodrígez",24561783,6,sralmoro@viajes.ceele,oSEVbGQW16hPqpC,Sr.rodrígez,+56-9-6904-6958,Diurno,Banmédica,"Part time"
"Virginia Flórez Garica",24915148,3,Virginiagarica@viajes.ceele,Tz9r5Q19xlzSfG,virginia4198,"+56 9 9147 4003",Nocturno,"Más vida","Part time"
"Sr. Joaquín Riojas Badillo",9657185,2,Sr.badillo@viajes.ceele,qw4FDjNyBzh,sr.518,"+56 9 9549 4240",Nocturno,Consalud,"Part time"
"Federico Saldaña Fernández",8060785,7,federico4047@viajes.ceele,lp6w0QrJRM,Federicofernández,"+56 9 1485 0560",Nocturno,Fonasa,"Part time"
"Luz Urías Salinas",5744859,8,luursa@viajes.ceele,9chiIzCSeH,Luzsalinas,"+56 9 1484 4395",Nocturno,Banmédica,"Full time"
"Luisa Alonzo Juárez",16533167,2,LuisajuOerez@viajes.ceele,gUda5GqZkyCj,x,"+56 2 6141 3996",Nocturno,x,"Part time"
"Francisco Valadez Gaitán",23086770,4,francisco4064@viajes.ceele,ChsiFrsGQAa13h,francisco1477,"+56 2 9713 2320",Nocturno,Consalud,"Part time"
"María José Mayorga Molina",14395541,9,marOAa1272@viajes.ceele,v9PCwTfP82e8nW,maría2774,+56-9-5841-4186,Diurno,"Más vida","Full time"
"Sr. María Sáenz Carrero",1451179,2,srmasOeca@viajes.ceele,SCSQi03im,sr.7857,"+56 9 4433 9432",Diurno,Fonasa,"Part time"
"Clemente Jasso Lugo",15880992,3,clemente4257@viajes.ceele,FzyPSQ14OCt,Clementelugo,"+56 9 6354 0354",Nocturno,Banmédica,"Part time"
"Manuela Reyes Alcala",28345222,0,mareal@viajes.ceele,uv5K5hOrG4aatcSV,manuela2125,+56-2-4752-2197,Nocturno,Banmédica,"Full time"
